Num.of Replicas,Num. of Clients,Num. of Operations   ,"	network delay  ","	Replica Delay  ","	Num.of Byzantine failures   ","	has Primary Filed?  ","	View -Changed?	 ","   Throughput	",  Total Run Time   ,"	Wall Clock Time   ",Avg.Run time per process,"	is Safe?   ","	Is Live?   ","	Total replica messages exchanged",Process Memory Utilization percentage
5,4,5,0,0,0,FALSE,FALSE,91.98922703,0.232376575,0.229490618,0.9375,Yes,Yes,1094,0.243841541
,,,,,,,,,,,,,,,
10,8,4,0,0,0,FALSE,FALSE,29.68002394,1.128023386,1.118418232,7.515625,Yes,Yes,6684,0.245739709
,,,,,,,,,,,,,,,
15,8,2,0,0,0,FALSE,FALSE,14.77229761,1.132915974,1.122947571,7.71875,Yes,Yes,7382,0.247005154
,,,,,,,,,,,,,,,
25,6,4,0,0,0,FALSE,FALSE,5.500395632,4.424161911,4.421721498,32.203125,Yes,Yes,30559,0.250655476
,,,,,,,,,,,,,,,
22,8,3,0,0,0,FALSE,FALSE,7.372302874,3.352163076,3.337262256,24.671875,Yes,Yes,23718,0.249682057
,,,,,,,,,,,,,,,
5,4,5,0,0,1,TRUE,TRUE,0.985244103,20.31434298,20.31126238,1.421875,Yes,Yes,971,0.24330616
,,,,,,,,,,,,,,,
10,8,4,0,0,3,TRUE,TRUE,1.487016543,21.70310664,21.68106124,12.078125,Yes,Yes,5088,0.246177747
,,,,,,,,,,,,,,,
15,8,2,0,0,4,TRUE,TRUE,0.747436822,21.73859739,21.72309757,13.515625,Yes,Yes,3957,0.245934393
,,,,,,,,,,,,,,,
25,6,4,0,0,8,TRUE,TRUE,0.604961369,41.21382833,41.18673306,157.953125,Yes,Yes,21592,0.252310289
,,,,,,,,,,,,,,,
22,8,3,0,0,7,TRUE,TRUE,0.946775182,26.60485721,26.56688036,50.125,Yes,Yes,14787,0.250314779
,,,,,,,,,,,,,,,
5,4,5,0,0,1,FALSE,FALSE,88.34140192,0.237366915,0.23507634,0.984375,Yes,Yes,957,0.244036225
,,,,,,,,,,,,,,,
10,8,4,0,0,3,FALSE,FALSE,34.95164134,1.126972914,1.115686544,6.71875,Yes,Yes,22546,0.245155657
,,,,,,,,,,,,,,,
15,8,2,0,0,3,FALSE,FALSE,1.530123549,10.47861385,10.48008834,5.40625,Yes,Yes,4206,0.247783889
,,,,,,,,,,,,,,,
25,6,4,0,0,7,FALSE,FALSE,6.221170383,4.629724026,4.602188744,31.75,Yes,Yes,22651,0.249876741
,,,,,,,,,,,,,,,
22,8,3,0,0,7,FALSE,FALSE,8.06441752,2.616994381,2.607136009,17.671875,Yes,Yes,12604,0.248903321
,,,,,,,,,,,,,,,
5,4,5,0.05,0,0,FALSE,FALSE,52.63189332,0.385985136,0.393007926,1.171875,Yes,Yes,1100,0.242576096
,,,,,,,,,,,,,,,
10,8,4,0.05,0,0,FALSE,FALSE,2.999840864,10.68618107,10.67342341,6.4375,Yes,Yes,5880,0.245934393
,,,,,,,,,,,,,,,
15,8,2,0.05,0,0,FALSE,FALSE,1.54900455,10.35718465,10.35128876,7.015625,Yes,Yes,6960,0.247540534
,,,,,,,,,,,,,,,
25,6,4,0.05,0,0,FALSE,FALSE,2.107035665,11.44027305,11.43052263,28.59375,Yes,Yes,28050,0.252066934
,,,,,,,,,,,,,,,
22,4,3,0.05,0,0,FALSE,FALSE,7.202939356,1.762726784,1.755331393,11.65625,Yes,Yes,11819,0.246080405
,,,,,,,,,,,,,,,
5,4,5,0.05,0,1,TRUE,TRUE,0.973927229,24.18777514,24.18135193,1.3125,Yes,Yes,971,0.242478754
,,,,,,,,,,,,,,,
10,8,4,0.05,0,3,TRUE,TRUE,1.491498371,29.48030925,29.47148048,12.078125,Yes,Yes,5088,0.245885722
,,,,,,,,,,,,,,,
15,8,2,0.05,0,4,TRUE,TRUE,0.691967835,30.50855637,0,0,Yes,Yes,5711,0.246129076
,,,,,,,,,,,,,,,
25,6,4,0.05,0,8,TRUE,TRUE,0.614683068,47.04216123,46.59765683,165.828125,Yes,Yes,21575,0.250460792
,,,,,,,,,,,,,,,
22,4,3,0.05,0,7,TRUE,TRUE,0.463873309,31.09138846,31.06969969,51.9375,Yes,Yes,8463,0.248124586
,,,,,,,,,,,,,,,
5,4,5,0.05,0,1,FALSE,FALSE,49.12179777,3.240800858,3.237912381,0.875,Yes,Yes,957,0.243452173
,,,,,,,,,,,,,,,
10,8,4,0.05,0,3,FALSE,FALSE,39.12578766,3.445612192,3.436882524,3.578125,Yes,Yes,24654,0.246129076
,,,,,,,,,,,,,,,
15,8,2,0.05,0,4,FALSE,FALSE,19.55869749,3.093284845,3.074432085,6.703125,Yes,Yes,5662,0.246469773
,,,,,,,,,,,,,,,
25,6,4,0.05,0,8,FALSE,FALSE,7.265324634,6.426254511,6.398947832,28.734375,Yes,Yes,21536,0.25085016
,,,,,,,,,,,,,,,
22,4,3,0.05,0,7,FALSE,FALSE,9.839426521,2.930762529,2.90600041,10.75,Yes,Yes,8415,0.248951992

